GeneSymbol_Mouse,GeneSymbol_Human,Source,Daneman_Filter,In_Walchli_EC,In_Yang_EC,In_Winkler_EC,Human_BBB_Datasets_N
Atp5f1,ATP5F1,Daneman,lung_only,TRUE,FALSE,FALSE,1
Atp5g1,ATP5G1,Daneman,lung_only,TRUE,FALSE,FALSE,1
Atp5g2,ATP5G2,Daneman,lung_only,TRUE,FALSE,FALSE,1
Atp5o,ATP5O,Daneman,lung_only,TRUE,FALSE,FALSE,1
Atp6v0d1,ATP6V0D1,Daneman,lung_only,TRUE,FALSE,FALSE,1
Atp8a1,ATP8A1,Daneman,liver_only,TRUE,FALSE,FALSE,1
Atp9a,ATP9A,Daneman,lung_only,TRUE,FALSE,TRUE,2
Atpif1,ATPIF1,Daneman,lung_only,TRUE,FALSE,FALSE,1
Axin2,AXIN2,Both,liver_only,TRUE,FALSE,FALSE,1
B2m,B2M,Daneman,liver_only,TRUE,FALSE,TRUE,2
B3gnt1,B3GNT1,Daneman,liver_only,FALSE,FALSE,FALSE,0
B4galt4,B4GALT4,Munji,NA,TRUE,FALSE,FALSE,1
Baiap2l1,BAIAP2L1,Munji,NA,TRUE,FALSE,FALSE,1
Bambi,BAMBI,Daneman,lung_only,TRUE,FALSE,FALSE,1
Banf1,BANF1,Daneman,lung_only,TRUE,FALSE,FALSE,1
Basp1,BASP1,Daneman,lung_only,TRUE,FALSE,FALSE,1
Baz1a,BAZ1A,Daneman,lung_only,TRUE,FALSE,TRUE,2
Bche,BCHE,Both,liver_only,TRUE,FALSE,FALSE,1
Bcl10,BCL10,Daneman,lung_only,TRUE,FALSE,FALSE,1
Bcl2l1,BCL2L1,Daneman,liver_only,TRUE,FALSE,FALSE,1
Bcl6,BCL6,Daneman,liver_only,TRUE,FALSE,TRUE,2
Bcl6b,BCL6B,Daneman,lung_only,TRUE,FALSE,FALSE,1
Bcr,BCR,Daneman,lung_only,TRUE,TRUE,TRUE,3
Bend5,BEND5,Munji,NA,TRUE,FALSE,FALSE,1
Bgn,BGN,Daneman,liver_and_lung,TRUE,FALSE,FALSE,1
Bin1,BIN1,Daneman,lung_only,TRUE,FALSE,FALSE,1
Bmp1,BMP1,Daneman,lung_only,TRUE,FALSE,FALSE,1
Bmp2,BMP2,Daneman,lung_only,TRUE,FALSE,FALSE,1
Bmp2k,BMP2K,Daneman,lung_only,TRUE,FALSE,FALSE,1
Bmpr1a,BMPR1A,Daneman,liver_and_lung,TRUE,FALSE,TRUE,2
Bmpr2,BMPR2,Daneman,liver_only,TRUE,FALSE,TRUE,2
Bnip1,BNIP1,Munji,NA,TRUE,FALSE,FALSE,1
Bnip3,BNIP3,Daneman,liver_only,TRUE,FALSE,FALSE,1
Bop1,BOP1,Daneman,lung_only,TRUE,FALSE,FALSE,1
Bpgm,BPGM,Daneman,lung_only,TRUE,FALSE,FALSE,1
Bsg,BSG,Munji,NA,TRUE,TRUE,TRUE,3
Bspry,BSPRY,Munji,NA,FALSE,FALSE,FALSE,0
Btbd11,BTBD11,Daneman,lung_only,FALSE,FALSE,FALSE,0
Btf3,BTF3,Daneman,lung_only,TRUE,FALSE,TRUE,2
